Student	Date	Year	Month1	Month	Lake	Fraction	group	Replica	t0	Rate_ori	Rate_mol	Rate_C_mg	Rate_C_mg_ave	mg C		Rate.DOC	Modelled	Rate.DOC.ave	Rate.DOC.stdev		Rate.DOC.RSD	Rel.rate.DOC	DOC	pH	Cond	Temp-Cond	Hg	MeHg	Abs204	Abs220	Abs254	Abs285	Abs365	Abs400	Abs600	sUVa	sVISa	SAR	E2_E3	Lability	HI	Hg.DOC	MeHg.DOC	HI_C
Stevie		2017	September	September_17	Hypolimnion	Bulk	Hypo Bulk	1			0	0				#DIV/0!							9.2		16.17	21.1					0.513		0.126	0.071	0.008	5.558565392	7.693141185	7.225352113	4.071428571	0				
Stevie		2017	September	September_17	Hypolimnion	Bulk		2			0	0				#DIV/0!									16.17	21.1																		
Stevie		2017	September	September_17	Hypolimnion	Bulk		3			0	0				#DIV/0!									16.17	21.1																		
Stevie	22.09.2017	2017	September	September_17	Hypolimnion	LMW	Hypo LMW	1			0	0				#DIV/0!							4		5.74	19.1	0.48	0.02			0.173		0.036	0.019	0.002	4.325	4.75	9.105263158	4.805555556	0		0.12	0.005	
Stevie	22.09.2017	2017	September	September_17	Hypolimnion	LMW		2			0	0				#DIV/0!									5.74	19.1	0.48	0.02																
Stevie	22.09.2017	2017	September	September_17	Hypolimnion	LMW		3			0	0				#DIV/0!									5.74	19.1	0.48	0.02																
Stevie	22.09.2017	2017	September	September_17	Hypolimnion	HMW	Hypo HMW	1			0	0				#DIV/0!							11.1		9.8	19.4	2.38	0.094			0.617		0.154	0.088	0.011	5.535618159	7.895209044	7.011363636	4.006493506	0		0.213529517	0.008433519	
Stevie	22.09.2017	2017	September	September_17	Hypolimnion	HMW		2			0	0				#DIV/0!									9.8	19.4	2.38	0.094																
Stevie	22.09.2017	2017	September	September_17	Hypolimnion	HMW		3			0	0				#DIV/0!									9.8	19.4	2.38	0.094																
Stevie		2017	April	April_17	Inlet	Bulk	Inlet Bulk	1		-0.51	-0.00000051	-0.00612				#DIV/0!	-4						16		17.11	17.7					0.615		0.143	0.077	0.007	5.953533398	7.454017425	7.987012987	4.300699301	0				
Stevie		2017	April	April_17	Inlet	Bulk		2		-0.46	-0.00000046	-0.00552				#DIV/0!	-4								17.11	17.7																		
Stevie		2017	April	April_17	Inlet	Bulk		3		-0.4	-0.0000004	-0.0048				#DIV/0!	-4								17.11	17.7																		
Stevie	01.04.2017	2017	April	April_17	Inlet	LMW	Inlet LMW	1		-0.12	-0.00000012	-0.00144				#DIV/0!	-1						4.4		9.92	15.9	0.62	0.007			0.213		0.044	0.023	0.001	4.886441844	5.27643955	9.260869565	4.840909091	0		0.142234457	0.001605873	
Stevie	01.04.2017	2017	April	April_17	Inlet	LMW		2		-0.167	-0.000000167	-0.002004				#DIV/0!	-1								9.92	15.9	0.62	0.007																
Stevie	01.04.2017	2017	April	April_17	Inlet	LMW		3		-0.177	-0.000000177	-0.002124				#DIV/0!	-2								9.92	15.9	0.62	0.007																
Stevie	01.04.2017	2017	April	April_17	Inlet	HMW		1		-0.74	-0.00000074	-0.00888				#DIV/0!	-6						11.55		19.18	14.9	2.68	0.029			0.699		0.163	0.088	0.007	6.053520395	7.621027107	7.943181818	4.288343558	0		0.232094916	0.002511475	
Stevie	01.04.2017	2017	April	April_17	Inlet	HMW		2		-0.39	-0.00000039	-0.00468				#DIV/0!	-3								19.18	14.9	2.68	0.029																
Stevie	01.04.2017	2017	April	April_17	Inlet	HMW		3		-1.63	-0.00000163	-0.01956				#DIV/0!	-14								19.18	14.9	2.68	0.029																
Stevie		2017	April	April_17	Outlet	Bulk		1		-0.62	-0.00000062	-0.00744				#DIV/0!	-5						10.47		17.74	17.5					0.619		0.143	0.078	0.007	5.913259457	7.451280092	7.935897436	4.328671329	0				
Stevie		2017	April	April_17	Outlet	Bulk		2		-0.43	-0.00000043	-0.00516				#DIV/0!	-4								17.74	17.5																		
Stevie		2017	April	April_17	Outlet	Bulk		3		-0.47	-0.00000047	-0.00564				#DIV/0!	-4								17.74	17.5																		
Stevie	01.04.2017	2017	April	April_17	Outlet	LMW		1		-0.63	-0.00000063	-0.00756				#DIV/0!	-6						5.28		11.82	17.2	0.66	0.021			0.267		0.054	0.028	0.002	5.057776094	5.304034855	9.535714286	4.944444444	0		0.125023679	0.003978026	
Stevie	01.04.2017	2017	April	April_17	Outlet	LMW		2		-0.43	-0.00000043	-0.00516				-0.000977458	-4						5.279	5.3	11.82	17.2	0.66	0.021																
Stevie	01.04.2017	2017	April	April_17	Outlet	LMW		3		-0.47	-0.00000047	-0.00564				-0.001068384	-4						5.279	5.3	11.82	17.2	0.66	0.021																
Stevie	01.04.2017	2017	April	April_17	Outlet	HMW		1		-0.63	-0.00000063	-0.00756				-0.000611205	-6						12.369	4.93	20.5	18	2.89	0.051			0.77		0.182	0.1	0.01	6.225240521	8.084727949	7.7	4.230769231	0		0.233648638	0.004123211	
Stevie	01.04.2017	2017	April	April_17	Outlet	HMW		2		-0.46	-0.00000046	-0.00552				-0.000446277	-4						12.369	4.93	20.5	18	2.89	0.051																
Stevie	01.04.2017	2017	April	April_17	Outlet	HMW		3		-0.55	-0.00000055	-0.0066				-0.000533592	-5						12.369	4.93	20.5	18	2.89	0.051																
Stevie		2017	April	April_17	Hypolimnion	Bulk		1			0	0				0							9.79	5.42	13.04	16.1					0.604		0.142	0.078	0.007	6.171451926	7.969755799	7.743589744	4.253521127	0				
Stevie		2017	April	April_17	Hypolimnion	Bulk		2			0	0				0							9.79	5.42	13.04	16.1																		
Stevie		2017	April	April_17	Hypolimnion	Bulk		3			0	0				0							9.79	5.42	13.04	16.1																		
Stevie	01.04.2017	2017	April	April_17	Hypolimnion	LMW		1			0	0				0							3.4	5.67	8.27	16.3	0.34	0.014			0.164		0.03	0.015	0	4.823529412	4.411764706	10.93333333	5.466666667	0		0.1	0.004117647	
Stevie	01.04.2017	2017	April	April_17	Hypolimnion	LMW		2			0	0				0							3.4	5.67	8.27	16.3	0.34	0.014																
Stevie	01.04.2017	2017	April	April_17	Hypolimnion	LMW		3			0	0				0							3.4	5.67	8.27	16.3	0.34	0.014																
Stevie	01.04.2017	2017	April	April_17	Hypolimnion	HMW		1			0	0				0							12.113	5.33	15.19	16.8	2.95	0.07			0.764		0.181	0.1	0.009	6.307273178	8.255593164	7.64	4.220994475	0		0.243539998	0.005778915	
Stevie	01.04.2017	2017	April	April_17	Hypolimnion	HMW		2			0	0				0							12.113	5.33	15.19	16.8	2.95	0.07																
Stevie	01.04.2017	2017	April	April_17	Hypolimnion	HMW		3			0	0				0							12.113	5.33	15.19	16.8	2.95	0.07																
Stevie		2017	June	June_17	Inlet	Bulk		1		-0.21	-0.00000021	-0.00252				-0.000224682	-2						11.22	4.96	14.61	17.9					0.743		0.176	0.095	0.007	6.528998243	8.34797891	7.821052632	4.221590909	0				
Stevie		2017	June	June_17	Inlet	Bulk		2		-0.35	-0.00000035	-0.0042				-0.000374469	-3						11.22	4.96	14.61	17.9																		
Stevie		2017	June	June_17	Inlet	Bulk		3		-0.27	-0.00000027	-0.00324				-0.000288876	-2						11.22	4.96	14.61	17.9																		
Stevie	06.06.2017	2017	June	June_17	Inlet	LMW		1		-0.27	-0.00000027	-0.00324				-0.000530973	-2						6.102	5.31	8.43	16.9	0.83	0.016			0.277		0.058	0.03	0.002	4.539495247	4.916420846	9.233333333	4.775862069	0		0.136020977	0.002622091	
Stevie	06.06.2017	2017	June	June_17	Inlet	LMW		2		-0.46	-0.00000046	-0.00552				-0.000904621	-4						6.102	5.31	8.43	16.9	0.83	0.016																
Stevie	06.06.2017	2017	June	June_17	Inlet	LMW		3		-0.26	-0.00000026	-0.00312				-0.000511308	-2						6.102	5.31	8.43	16.9	0.83	0.016																
