Station.ID	Station.Code	Station	Date	TOC_m	THg_m	MeHg_m	X254nm	X285nm	X365nm	X400nm	THg_s	MeHg_s	DOC_s	X254nm_s	X285nm_s	X365nm_s	X400nm_s	labile_m	labile_s	sUVa_m	sUVa_s	sVISa_m	sVISa_s	SAR_m	E2_E3_m	E2_E3_s	THGTOC_m	THGDOC_s	MeHGTOC_m	MeHGDOC_s	MeHg_rel_m
108	LAE01	Outlet	15.01.2017	13.4	NA	NA	0.67946	0.490512	0.159032	0.08866	NA	NA	NA	NA	NA	NA	NA	3.660537	NA	5.070597	NA	6.616418	NA	7663.659	4.272473	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	22.01.2017	13.1	NA	NA	0.635304	0.45864	0.148064	0.082076	NA	NA	NA	NA	NA	NA	NA	3.501069	NA	4.849649	NA	6.265344	NA	7740.436	4.290739	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	25.01.2017	13.7	NA	NA	0.644912	0.46474	0.149868	0.083104	2.97	0.09	13.63	0.541	0.388	0.124	0.07	3.392263	2.846662	4.707387	3.969186	6.065985	5.13573	7760.3	4.3032	4.362903	NA	0.2179017	NA	0.006603081	NA
108	LAE01	Outlet	29.01.2017	14.2	4.1843	0.02921968	0.668852	0.479944	0.154256	0.085684	NA	NA	NA	NA	NA	NA	NA	3.379887	NA	4.710225	NA	6.034085	NA	7806.031	4.335987	NA	0.294669	NA	0.002057724	NA	0.6983171
108	LAE01	Outlet	05.02.2017	13	NA	NA	0.6331996	0.458044	0.148928	0.083044	NA	NA	NA	NA	NA	NA	NA	3.523415	NA	4.870766	NA	6.388	NA	7624.869	4.251716	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	11.02.2017	13.1	NA	NA	0.6400236	0.464728	0.151864	0.085088	NA	NA	NA	NA	NA	NA	NA	3.547542	NA	4.885676	NA	6.495267	NA	7521.902	4.214452	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	19.02.2017	13.2	NA	NA	0.6250836	0.453848	0.147936	0.083072	NA	NA	NA	NA	NA	NA	NA	3.438242	NA	4.735482	NA	6.293333	NA	7524.6	4.225365	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	25.02.2017	13.2	3.430818	0.06600567	0.635636	0.460128	0.149428	0.08322	NA	NA	NA	NA	NA	NA	NA	3.485818	NA	4.815424	NA	6.304545	NA	7638.02	4.253794	NA	0.2599105	NA	0.005000429	NA	1.9239047
108	LAE01	Outlet	06.03.2017	12.4	NA	NA	0.593752	0.427392	0.135712	0.073152	NA	NA	NA	NA	NA	NA	NA	3.44671	NA	4.788323	NA	5.899355	NA	8116.689	4.375088	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	11.03.2017	12.7	NA	NA	0.614232	0.447136	0.146068	0.081588	NA	NA	NA	NA	NA	NA	NA	3.520756	NA	4.836472	NA	6.424252	NA	7528.46	4.20511	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	18.03.2017	12.6	NA	NA	0.576356	0.417584	0.135356	0.075272	NA	NA	NA	NA	NA	NA	NA	3.314159	NA	4.574254	NA	5.973968	NA	7656.977	4.258075	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	25.03.2017	12.6	3.613785	0.12347679	0.600804	0.435776	0.142404	0.079636	NA	NA	NA	NA	NA	NA	NA	3.45854	NA	4.768286	NA	6.320317	NA	7544.377	4.219011	NA	0.2868084	NA	0.009799745	NA	3.4168269
108	LAE01	Outlet	01.04.2017	12.7	NA	NA	0.597264	0.433744	0.139384	0.077356	2.89	0.051	10.29	0.619	NA	0.143	0.078	3.415307	NA	4.702866	6.015549	6.091024	7.580175	7720.978	4.285026	4.328671	NA	0.2808552	NA	0.004956268	NA
108	LAE01	Outlet	09.04.2017	11.6	NA	NA	0.55512	0.4028	0.128872	0.070884	NA	NA	NA	NA	NA	NA	NA	3.472414	NA	4.785517	NA	6.11069	NA	7831.386	4.30753	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	16.04.2017	10.2	NA	NA	0.464544	0.336428	0.108056	0.059704	NA	NA	NA	NA	NA	NA	NA	3.298314	NA	4.554353	NA	5.853333	NA	7780.785	4.299104	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	23.04.2017	10.3	NA	NA	0.490668	0.35612	0.115868	0.064352	NA	NA	NA	NA	NA	NA	NA	3.457476	NA	4.763767	NA	6.247767	NA	7624.751	4.234715	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	30.04.2017	10.7	2.459634	0.04655617	0.471344	0.340344	0.109996	0.061204	NA	NA	NA	NA	NA	NA	NA	3.180785	NA	4.405084	NA	5.72	NA	7701.196	4.285101	NA	0.2298724	NA	0.004351044	NA	1.8928087
108	LAE01	Outlet	07.05.2017	9.6	NA	NA	0.451788	0.325756	0.105504	0.058464	NA	NA	NA	NA	NA	NA	NA	3.393292	NA	4.706125	NA	6.09	NA	7727.627	4.282188	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	14.05.2017	9.1	NA	NA	0.44072	0.316652	0.103068	0.057484	NA	NA	NA	NA	NA	NA	NA	3.479692	NA	4.843077	NA	6.316923	NA	7666.829	4.276012	NA	NA	NA	NA	NA	NA
