"","Station.ID","Station.Code","Station","Date","TOC_m","THg_m","MeHg_m","X254nm","X285nm","X365nm","X400nm","THg_s","MeHg_s","DOC_s","X254nm_s","X285nm_s","X365nm_s","X400nm_s","labile_m","labile_s","sUVa_m","sUVa_s","sVISa_m","sVISa_s","SAR_m","E2_E3_m","E2_E3_s","THGTOC_m","THGDOC_s","MeHGTOC_m","MeHGDOC_s","MeHg_rel_m","Year","month_day"
"71",108,"LAE01","Outlet",2017-04-09,11.6,NA,NA,0.55512,0.4028,0.128872,0.070884,NA,NA,NA,NA,NA,NA,NA,3.47241379310345,NA,4.78551724137931,NA,6.11068965517241,NA,7831.38649060437,4.30752995220063,NA,NA,NA,NA,NA,NA,"2017",2024-04-09
"72",108,"LAE01","Outlet",2017-04-16,10.2,NA,NA,0.464544,0.336428,0.108056,0.059704,NA,NA,NA,NA,NA,NA,NA,3.2983137254902,NA,4.55435294117647,NA,5.85333333333333,NA,7780.78520702131,4.29910416820908,NA,NA,NA,NA,NA,NA,"2017",2024-04-16
"73",108,"LAE01","Outlet",2017-04-23,10.3,NA,NA,0.490668,0.35612,0.115868,0.064352,NA,NA,NA,NA,NA,NA,NA,3.45747572815534,NA,4.76376699029126,NA,6.24776699029126,NA,7624.75136747887,4.23471536576104,NA,NA,NA,NA,NA,NA,"2017",2024-04-23
"74",108,"LAE01","Outlet",2017-04-30,10.7,2.459634,0.04655617,0.471344,0.340344,0.109996,0.061204,NA,NA,NA,NA,NA,NA,NA,3.18078504672897,NA,4.40508411214953,NA,5.72,NA,7701.19600026142,4.28510127641005,NA,0.229872336448598,NA,0.00435104392523365,NA,1.8928088487962,"2017",2024-04-30
"75",108,"LAE01","Outlet",2017-05-07,9.6,NA,NA,0.451788,0.325756,0.105504,0.058464,NA,NA,NA,NA,NA,NA,NA,3.39329166666667,NA,4.706125,NA,6.09,NA,7727.62725779967,4.28218835304823,NA,NA,NA,NA,NA,NA,"2017",2024-05-07
"76",108,"LAE01","Outlet",2017-05-14,9.1,NA,NA,0.44072,0.316652,0.103068,0.057484,NA,NA,NA,NA,NA,NA,NA,3.47969230769231,NA,4.84307692307692,NA,6.31692307692308,NA,7666.8290306868,4.27601195327357,NA,NA,NA,NA,NA,NA,"2017",2024-05-14
"77",108,"LAE01","Outlet",2017-05-21,10.1,NA,NA,0.484384,0.350408,0.1153644,0.06532,NA,NA,NA,NA,NA,NA,NA,3.46938613861386,NA,4.79588118811881,NA,6.46732673267327,NA,7415.55419473362,4.19873028421246,NA,NA,NA,NA,NA,NA,"2017",2024-05-21
"78",108,"LAE01","Outlet",2017-05-28,10,3.516298,0.06640107,0.448908,0.318832,0.1022004,0.05726,NA,NA,NA,NA,NA,NA,NA,3.18832,NA,4.48908,NA,5.726,NA,7839.81837233671,4.39242899245013,NA,0.3516298,NA,0.006640107,NA,1.88838005197512,"2017",2024-05-28
"79",108,"LAE01","Outlet",2017-06-04,10.1,NA,NA,0.431292,0.305584,0.0965204,0.053564,NA,NA,NA,NA,NA,NA,NA,3.02558415841584,NA,4.27021782178218,NA,5.30336633663366,NA,8051.90053020686,4.46840253459372,NA,NA,NA,NA,NA,NA,"2017",2024-06-04
"80",NA,"","Outlet",2017-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.26,0.452,NA,0.107,0.062,NA,NA,NA,5.47215496368039,NA,7.50605326876513,NA,NA,4.22429906542056,NA,NA,NA,NA,NA,"2017",2024-06-06
"81",108,"LAE01","Outlet",2017-06-11,11.8,NA,NA,0.5216,0.37486,0.118712,0.065044,NA,NA,NA,NA,NA,NA,NA,3.17677966101695,NA,4.42033898305085,NA,5.51220338983051,NA,8019.18701186889,4.39382707729631,NA,NA,NA,NA,NA,NA,"2017",2024-06-11
"82",108,"LAE01","Outlet",2017-06-18,12.1,NA,NA,0.540184,0.389568,0.125224,0.069684,NA,NA,NA,NA,NA,NA,NA,3.21957024793388,NA,4.4643305785124,NA,5.75900826446281,NA,7751.90861603811,4.31374177473967,NA,NA,NA,NA,NA,NA,"2017",2024-06-18
"83",108,"LAE01","Outlet",2017-06-25,11.8,4.206796,0.05783514,0.539452,0.385804,0.122668,0.06842,NA,NA,NA,NA,NA,NA,NA,3.26952542372881,NA,4.57162711864407,NA,5.79830508474576,NA,7884.41976030401,4.39765872110086,NA,0.35650813559322,NA,0.00490128305084746,NA,1.37480258134694,"2017",2024-06-25
"84",108,"LAE01","Outlet",2017-07-02,11.5,NA,NA,0.518024,0.367768,0.115888,0.064172,NA,NA,NA,NA,NA,NA,NA,3.19798260869565,NA,4.50455652173913,NA,5.58017391304348,NA,8072.43034345197,4.47004003865801,NA,NA,NA,NA,NA,NA,"2017",2024-07-02
